fault_type,recovery_type,recovery_status,mq2_value,motion_state
0,0,0,1242,1
0,0,0,1241,1
3,3,1,1237,0
0,0,0,1063,1
2,1,2,1246,1
0,0,0,1246,0
0,0,0,1246,0
0,0,0,1243,0
0,0,0,1237,1
0,0,0,1242,1
2,1,1,1245,0
0,0,0,1238,1
2,1,1,1252,0
0,0,0,1246,0
0,0,0,940,0
0,0,0,1179,1
0,0,0,1208,0
5,4,1,1173,1
0,0,0,1182,0
2,1,2,1182,1
0,0,0,1173,0
0,0,0,1175,0
0,0,0,1173,0
0,0,0,1178,0
2,1,2,1183,1
0,0,0,1179,0
0,0,0,1185,0
0,0,0,1170,1
0,0,0,1029,0
2,1,2,1040,1
5,4,1,1042,1
0,0,0,1043,0
0,0,0,1014,0
0,0,0,1008,0
3,3,1,1020,1
0,0,0,1019,0
2,1,1,1019,0
0,0,0,1045,0
0,0,0,963,1
0,0,0,979,1
0,0,0,963,1
0,0,0,946,1
4,2,1,882,0
0,0,0,972,1
0,0,0,1230,1
2,1,2,1230,1
0,0,0,1199,0
0,0,0,1227,0
0,0,0,1233,0
0,0,0,1129,0
0,0,0,1121,0
2,1,2,1215,1
0,0,0,1119,0
0,0,0,1205,0
0,0,0,1207,0
0,0,0,1205,0
0,0,0,1185,0
2,1,2,1131,1
0,0,0,1174,0
0,0,0,1225,0
0,0,0,1187,0
0,0,0,1231,1
0,0,0,1004,0
2,1,2,1130,1
0,0,0,1131,0
0,0,0,1123,0
0,0,0,1166,1
0,0,0,1110,1
0,0,0,1123,1
0,0,0,1123,1
0,0,0,1115,1
2,1,1,1066,0
0,0,0,1007,0
0,0,0,1062,1
0,0,0,1066,1
0,0,0,1067,1
0,0,0,1070,1
0,0,0,1061,1
0,0,0,1061,1
0,0,0,1046,1
0,0,0,1061,1
0,0,0,1057,1
0,0,0,1054,1
0,0,0,1056,1
0,0,0,1050,1
0,0,0,1049,1
0,0,0,1046,1
0,0,0,1051,1
0,0,0,1002,1
0,0,0,1047,1
0,0,0,1005,1
0,0,0,997,1
0,0,0,944,1
0,0,0,965,1
0,0,0,969,1
0,0,0,969,1
0,0,0,964,1
0,0,0,970,1
0,0,0,975,1
0,0,0,975,1
0,0,0,930,1
0,0,0,929,1
0,0,0,944,1
0,0,0,951,1
0,0,0,939,1
0,0,0,955,1
0,0,0,959,1
0,0,0,960,1
0,0,0,957,1
2,1,2,964,1
0,0,0,965,0
0,0,0,957,1
0,0,0,950,0
0,0,0,944,1
0,0,0,944,1
0,0,0,944,1
0,0,0,951,1
0,0,0,945,1
0,0,0,979,1
0,0,0,959,1
0,0,0,991,1
0,0,0,994,1
0,0,0,994,1
0,0,0,994,1
0,0,0,996,1
0,0,0,990,1
2,1,1,1003,0
0,0,0,995,0
0,0,0,1008,0
0,0,0,1012,0
0,0,0,1005,1
0,0,0,934,1
0,0,0,912,1
0,0,0,914,1
0,0,0,910,1
0,0,0,858,1
3,3,1,860,0
0,0,0,905,1
0,0,0,880,1
0,0,0,813,1
0,0,0,837,1
0,0,0,833,1
0,0,0,838,1
0,0,0,845,1
1,1,1,843,0
0,0,0,842,1
1,1,1,880,0
0,0,0,4095,1
0,0,0,847,1
0,0,0,846,1
0,0,0,845,1
0,0,0,847,1
0,0,0,848,1
0,0,0,850,1
0,0,0,848,1
0,0,0,837,1
3,3,1,848,0
0,0,0,849,1
0,0,0,847,1
0,0,0,848,1
0,0,0,848,1
0,0,0,852,1
0,0,0,853,1
0,0,0,851,1
0,0,0,851,1
0,0,0,850,1
2,1,1,848,0
0,0,0,851,1
2,1,1,851,0
0,0,0,848,0
0,0,0,860,1
0,0,0,862,1
0,0,0,861,1
0,0,0,859,1
0,0,0,862,1
0,0,0,869,1
0,0,0,863,1
1,1,1,857,0
0,0,0,859,1
1,1,1,862,0
0,0,0,4095,1
0,0,0,863,1
0,0,0,837,1
0,0,0,1182,1
0,0,0,1189,1
0,0,0,1166,1
0,0,0,1200,1
4,2,1,1158,0
0,0,0,1171,1
0,0,0,1142,1
0,0,0,1168,1
0,0,0,1155,1
0,0,0,1150,1
0,0,0,1146,1
0,0,0,1143,1
0,0,0,1146,1
4,2,1,1150,0
0,0,0,1139,1
0,0,0,1144,1
0,0,0,1150,1
0,0,0,1149,1
0,0,0,1143,1
0,0,0,1149,1
0,0,0,1146,1
0,0,0,1150,1
0,0,0,1143,1
0,0,0,1140,1
0,0,0,1123,1
0,0,0,1138,1
0,0,0,1138,1
0,0,0,1139,1
0,0,0,1136,1
0,0,0,1136,1
0,0,0,1139,1
4,2,1,1149,0
0,0,0,1141,1
0,0,0,1146,1
0,0,0,1145,1
0,0,0,1143,1
0,0,0,1141,1
0,0,0,1152,1
0,0,0,1148,1
0,0,0,1151,1
0,0,0,1136,1
1,1,2,1114,0
0,0,0,1119,1
0,0,0,1110,1
0,0,0,1113,1
0,0,0,1108,1
0,0,0,1107,1
2,1,1,1103,0
0,0,0,1107,1
2,1,1,1104,0
0,0,0,1105,0
0,0,0,1103,1
0,0,0,1104,1
0,0,0,1104,1
0,0,0,1099,1
0,0,0,1100,1
0,0,0,1095,1
0,0,0,1089,1
3,3,1,1104,0
0,0,0,1091,1
0,0,0,1088,1
0,0,0,1091,1
0,0,0,1091,1
0,0,0,1077,1
0,0,0,1088,1
0,0,0,1089,1
0,0,0,1086,1
0,0,0,1082,1
0,0,0,1088,1
0,0,0,1082,1
0,0,0,1083,1
0,0,0,1084,1
5,4,1,1083,0
0,0,0,1074,1
0,0,0,1083,1
0,0,0,1087,1
0,0,0,1087,1
0,0,0,1088,1
3,3,1,1079,0
0,0,0,1087,1
0,0,0,1074,1
0,0,0,1078,1
0,0,0,1080,1
0,0,0,1077,1
0,0,0,1075,1
4,2,1,1078,0
0,0,0,1076,1
0,0,0,1074,1
2,1,1,1073,0
0,0,0,1087,0
0,0,0,1074,1
0,0,0,1075,1
0,0,0,1078,1
0,0,0,1097,0
2,1,1,1088,1
0,0,0,1093,0
0,0,0,1089,0
0,0,0,1087,0
0,0,0,1088,0
0,0,0,1088,0
2,1,1,1089,1
0,0,0,1088,0
0,0,0,1094,0
5,4,1,1084,1
0,0,0,1088,0
0,0,0,1322,0
0,0,0,1167,1
0,0,0,1099,1
2,1,2,848,0
0,0,0,1055,0
0,0,0,839,0
0,0,0,899,0
0,0,0,902,1
0,0,0,898,1
0,0,0,896,1
2,1,2,880,1
0,0,0,890,0
0,0,0,879,0
0,0,0,874,1
0,0,0,871,1
2,1,1,868,0
0,0,0,867,1
2,1,1,997,0
0,0,0,868,0
0,0,0,997,0
0,0,0,999,0
0,0,0,993,0
3,3,1,987,0
0,0,0,989,1
0,0,0,989,1
0,0,0,984,1
0,0,0,984,1
2,1,2,991,1
0,0,0,979,0
0,0,0,993,0
0,0,0,986,1
0,0,0,987,1
0,0,0,987,1
0,0,0,987,1
0,0,0,987,1
0,0,0,982,1
0,0,0,981,1
0,0,0,983,1
0,0,0,982,1
0,0,0,982,1
3,3,1,982,1
0,0,0,978,1
2,1,2,977,1
0,0,0,972,0
0,0,0,975,0
0,0,0,977,0
0,0,0,969,1
0,0,0,971,1
0,0,0,973,1
0,0,0,975,1
0,0,0,971,1
2,1,1,967,0
4,2,1,969,1
0,0,0,975,0
0,0,0,971,0
0,0,0,963,0
2,1,1,962,0
0,0,0,965,0
0,0,0,964,0
0,0,0,960,1
0,0,0,961,0
0,0,0,962,0
2,1,2,960,1
0,0,0,963,0
0,0,0,958,1
0,0,0,950,1
3,3,1,959,0
0,0,0,950,1
0,0,0,965,1
0,0,0,968,1
0,0,0,978,1
4,2,1,976,0
0,0,0,971,1
0,0,0,971,1
0,0,0,968,1
0,0,0,970,1
0,0,0,974,1
2,1,2,962,1
0,0,0,978,0
4,2,1,948,0
0,0,0,922,0
0,0,0,960,1
0,0,0,953,1
2,1,2,971,1
0,0,0,993,0
0,0,0,969,0
0,0,0,970,0
3,3,1,965,0
0,0,0,963,1
2,1,2,976,1
0,0,0,974,0
0,0,0,983,0
0,0,0,976,0
0,0,0,976,0
3,3,1,971,0
0,0,0,974,1
0,0,0,976,1
0,0,0,976,1
4,2,1,977,0
0,0,0,976,1
0,0,0,990,1
0,0,0,989,1
0,0,0,985,1
0,0,0,985,1
0,0,0,988,1
2,1,2,976,1
4,2,1,978,1
0,0,0,991,0
0,0,0,979,0
0,0,0,976,0
5,4,1,978,1
0,0,0,978,0
2,1,2,977,1
0,0,0,977,0
0,0,0,979,0
0,0,0,979,0
0,0,0,977,0
2,1,2,831,1
1,1,1,979,1
0,0,0,981,0
1,1,1,975,0
0,0,0,4095,1
0,0,0,986,1
0,0,0,985,1
0,0,0,987,1
2,1,1,989,0
5,4,1,982,0
0,0,0,990,0
0,0,0,995,1
0,0,0,990,1
0,0,0,989,1
1,1,1,995,0
0,0,0,987,1
1,1,1,995,0
0,0,0,4095,1
0,0,0,995,1
0,0,0,987,1
0,0,0,989,1
0,0,0,991,1
0,0,0,990,1
4,2,1,983,0
0,0,0,987,1
0,0,0,1002,1
0,0,0,990,1
5,4,1,989,0
0,0,0,985,1
0,0,0,987,1
0,0,0,990,1
0,0,0,991,1
0,0,0,987,1
0,0,0,990,1
2,1,2,992,1
4,2,1,990,1
0,0,0,994,0
0,0,0,991,0
0,0,0,993,0
0,0,0,986,1
0,0,0,986,1
0,0,0,991,1
0,0,0,985,1
2,1,1,993,1
0,0,0,987,1
2,1,1,987,0
0,0,0,991,0
0,0,0,989,1
0,0,0,987,1
0,0,0,991,1
0,0,0,992,1
0,0,0,990,1
5,4,1,1007,0
0,0,0,993,1
0,0,0,1003,1
0,0,0,1008,1
2,1,1,1008,0
0,0,0,1007,1
2,1,1,1005,0
0,0,0,1008,0
0,0,0,1009,0
0,0,0,1008,0
0,0,0,1008,0
0,0,0,1006,1
2,1,2,1011,1
0,0,0,1011,0
0,0,0,1013,0
0,0,0,1007,1
0,0,0,1008,1
0,0,0,1009,1
0,0,0,1007,1
0,0,0,1007,1
1,1,1,1037,0
0,0,0,1031,1
1,1,2,1008,0
0,0,0,4095,1
2,1,2,1004,0
0,0,0,1012,0
0,0,0,1008,1
0,0,0,1008,1
0,0,0,1008,1
1,1,2,1008,0
0,0,0,1007,1
0,0,0,1009,1
0,0,0,1008,1
4,2,1,1005,0
0,0,0,1008,1
0,0,0,1008,1
0,0,0,1008,1
0,0,0,1005,1
0,0,0,1087,1
0,0,0,1008,1
0,0,0,1005,1
2,1,2,1013,1
0,0,0,1007,1
2,1,2,1011,1
0,0,0,1014,0
0,0,0,1012,0
0,0,0,1012,0
0,0,0,1010,0
0,0,0,1006,1
0,0,0,1009,1
0,0,0,997,1
0,0,0,993,1
0,0,0,994,1
2,1,2,991,1
0,0,0,1003,0
0,0,0,998,0
0,0,0,994,0
0,0,0,1003,1
0,0,0,1007,1
0,0,0,974,1
0,0,0,1007,1
0,0,0,1009,1
5,4,1,1002,0
0,0,0,1008,1
0,0,0,1005,1
0,0,0,1007,1
0,0,0,1008,1
0,0,0,1008,1
2,1,1,1008,0
0,0,0,1009,1
2,1,1,1006,0
0,0,0,1008,0
0,0,0,1005,1
0,0,0,1008,1
2,1,1,1007,0
0,0,0,1005,1
2,1,2,1011,1
0,0,0,1040,0
0,0,0,1006,0
0,0,0,1008,0
0,0,0,1008,0
0,0,0,1008,0
2,1,2,1011,1
2,1,2,1011,1
0,0,0,1009,0
0,0,0,1009,0
0,0,0,1006,0
2,1,2,1012,1
4,2,1,1011,1
0,0,0,1010,0
0,0,0,1010,0
0,0,0,1010,0
0,0,0,1009,0
2,1,2,1015,1
0,0,0,1009,0
0,0,0,1010,0
0,0,0,1008,0
0,0,0,1010,0
0,0,0,1014,0
2,1,2,1001,1
0,0,0,1002,0
0,0,0,1005,0
0,0,0,1003,0
4,2,1,1011,1
0,0,0,1013,0
2,1,2,1013,1
0,0,0,1011,0
0,0,0,1015,0
0,0,0,1009,0
0,0,0,1019,0
4,2,1,1011,1
0,0,0,1014,0
2,1,2,1015,1
0,0,0,1013,0
0,0,0,1013,0
0,0,0,1019,0
0,0,0,1011,0
0,0,0,1011,0
2,1,2,1013,1
1,1,2,1015,1
0,0,0,1010,0
0,0,0,1023,0
0,0,0,1017,0
2,1,2,962,1
5,4,1,970,0
0,0,0,1037,0
0,0,0,971,1
0,0,0,977,0
0,0,0,979,0
2,1,2,983,1
0,0,0,981,0
0,0,0,982,0
0,0,0,986,0
5,4,1,982,0
0,0,0,976,1
0,0,0,981,1
2,1,2,982,0
0,0,0,987,0
0,0,0,979,1
0,0,0,976,1
0,0,0,980,1
0,0,0,983,1
0,0,0,982,1
4,2,1,976,0
0,0,0,979,1
0,0,0,953,1
0,0,0,981,1
2,1,2,985,1
0,0,0,989,0
0,0,0,988,0
0,0,0,983,0
4,2,1,980,1
0,0,0,987,0
2,1,2,986,1
0,0,0,983,0
0,0,0,978,1
0,0,0,978,1
0,0,0,978,1
4,2,1,978,0
0,0,0,977,1
0,0,0,976,1
0,0,0,977,1
0,0,0,978,1
0,0,0,983,1
0,0,0,978,1
5,4,1,976,0
0,0,0,979,1
0,0,0,981,1
0,0,0,978,1
0,0,0,979,1
4,2,1,977,0
0,0,0,977,1
0,0,0,980,1
0,0,0,978,1
0,0,0,974,1
2,1,2,978,0
0,0,0,989,0
0,0,0,981,1
0,0,0,980,1
3,3,1,976,0
0,0,0,977,1
0,0,0,983,1
0,0,0,979,1
0,0,0,986,1
0,0,0,982,1
0,0,0,986,1
1,1,1,875,0
0,0,0,1067,1
1,1,1,1225,1
2,1,1,3665,0
0,0,0,4095,0
1,1,2,3782,1
2,1,2,3805,1
0,0,0,3632,0
1,1,2,3834,0
0,0,0,3835,1
0,0,0,3834,1
0,0,0,3827,1
4,2,1,3824,0
0,0,0,3828,1
1,1,2,3822,0
0,0,0,3826,1
0,0,0,3828,1
0,0,0,3821,1
0,0,0,3824,1
0,0,0,3823,1
1,1,2,3836,1
1,1,2,3820,1
0,0,0,3822,1
2,1,2,3831,1
0,0,0,3810,0
1,1,2,3837,1
2,1,2,3814,1
0,0,0,3851,0
1,1,2,3931,0
2,1,1,3875,0
0,0,0,3810,0
1,1,2,4095,0
4,2,1,3933,0
0,0,0,3878,1
2,1,1,4095,1
0,0,0,4095,0
1,1,2,3968,1
2,1,2,1173,1
0,0,0,4095,0
0,0,0,1449,0
0,0,0,1210,0
0,0,0,1154,0
0,0,0,1267,0
2,1,2,1387,1
4,2,1,1355,1
0,0,0,1270,0
0,0,0,1255,0
0,0,0,1193,0
0,0,0,1184,0
2,1,2,1126,1
0,0,0,1168,0
0,0,0,1151,0
0,0,0,1101,1
0,0,0,1180,1
0,0,0,1249,0
2,1,2,1219,1
0,0,0,1223,0
0,0,0,1223,0
0,0,0,1222,0
0,0,0,1214,0
0,0,0,1186,0
2,1,2,1231,1
2,1,2,1231,1
0,0,0,1221,0
0,0,0,1249,0
0,0,0,1256,0
2,1,2,1227,1
5,4,1,1217,1
0,0,0,1232,0
0,0,0,1232,0
0,0,0,1233,0
0,0,0,1243,0
2,1,2,1219,1
5,4,1,1239,1
0,0,0,1243,0
0,0,0,1243,0
0,0,0,1246,0
0,0,0,1242,0
2,1,1,1324,0
0,0,0,1232,0
0,0,0,1307,0
4,2,1,1314,0
0,0,0,1309,0
0,0,0,1226,0
2,1,2,1290,1
0,0,0,1282,0
0,0,0,1284,0
0,0,0,1287,0
0,0,0,1286,0
0,0,0,1281,0
2,1,1,1281,1
0,0,0,1286,0
0,0,0,1246,0
0,0,0,1234,0
0,0,0,1037,0
0,0,0,1054,0
2,1,2,806,1
0,0,0,960,0
0,0,0,850,0
0,0,0,848,0
0,0,0,848,0
0,0,0,850,0
2,1,2,848,1
1,1,1,852,1
0,0,0,851,0
1,1,1,755,1
2,1,1,834,0
0,0,0,4095,0
0,0,0,748,0
0,0,0,1021,1
0,0,0,1006,1
0,0,0,977,1
2,1,2,881,1
0,0,0,892,0
0,0,0,848,0
0,0,0,880,0
0,0,0,890,1
0,0,0,870,0
2,1,1,895,1
0,0,0,884,0
0,0,0,761,0
0,0,0,914,0
0,0,0,759,0
0,0,0,772,0
2,1,2,777,1
0,0,0,752,0
0,0,0,747,0
0,0,0,684,0
0,0,0,688,0
0,0,0,751,0
2,1,2,567,1
0,0,0,678,0
0,0,0,619,0
0,0,0,660,0
0,0,0,686,0
0,0,0,741,0
2,1,2,737,1
0,0,0,747,0
0,0,0,735,0
0,0,0,800,0
0,0,0,791,0
0,0,0,784,0
2,1,1,765,1
2,1,2,726,1
0,0,0,784,0
0,0,0,838,1
0,0,0,800,0
0,0,0,842,1
2,1,2,802,1
0,0,0,659,0
0,0,0,814,0
0,0,0,867,0
0,0,0,857,0
4,2,1,789,1
0,0,0,839,0
2,1,2,795,1
0,0,0,785,0
0,0,0,752,0
0,0,0,801,0
0,0,0,806,0
0,0,0,690,0
2,1,1,943,0
0,0,0,835,0
0,0,0,750,0
0,0,0,786,0
0,0,0,734,0
0,0,0,743,0
2,1,1,762,1
0,0,0,763,0
0,0,0,741,1
0,0,0,735,1
0,0,0,728,1
0,0,0,721,0
2,1,2,714,1
0,0,0,720,0
0,0,0,714,1
0,0,0,717,0
0,0,0,719,0
0,0,0,720,0
2,1,2,699,1
4,2,1,694,1
0,0,0,711,0
0,0,0,682,0
0,0,0,679,0
5,4,1,672,0
0,0,0,678,0
0,0,0,674,1
2,1,1,665,0
0,0,0,611,0
0,0,0,656,1
0,0,0,661,1
0,0,0,662,0
0,0,0,668,1
2,1,1,666,0
0,0,0,668,0
0,0,0,660,1
0,0,0,668,0
0,0,0,677,0
0,0,0,675,0
2,1,2,906,1
0,0,0,649,0
0,0,0,910,0
0,0,0,909,1
0,0,0,891,1
0,0,0,883,1
0,0,0,881,1
0,0,0,886,1
2,1,1,893,0
0,0,0,890,0
0,0,0,900,0
0,0,0,902,0
0,0,0,898,1
0,0,0,910,1
0,0,0,906,1
2,1,2,887,1
0,0,0,896,0
0,0,0,883,0
0,0,0,878,0
0,0,0,862,0
0,0,0,867,0
2,1,2,874,1
0,0,0,858,0
0,0,0,854,0
0,0,0,866,1
0,0,0,867,1
0,0,0,874,1
0,0,0,875,1
2,1,1,719,0
3,3,1,784,1
0,0,0,813,0
0,0,0,772,0
0,0,0,768,0
0,0,0,767,0
2,1,2,755,0
1,1,1,768,0
0,0,0,771,0
1,1,1,765,0
0,0,0,4095,1
0,0,0,760,1
0,0,0,762,1
0,0,0,762,1
0,0,0,765,1
2,1,2,769,1
3,3,1,767,0
0,0,0,769,0
0,0,0,765,1
0,0,0,768,1
0,0,0,770,1
0,0,0,763,1
0,0,0,769,1
0,0,0,774,1
0,0,0,769,1
0,0,0,768,1
3,3,1,768,0
0,0,0,769,1
0,0,0,769,1
2,1,2,774,1
5,4,1,778,1
0,0,0,773,0
0,0,0,777,0
0,0,0,774,1
0,0,0,768,1
2,1,1,767,0
5,4,1,769,0
0,0,0,773,0
0,0,0,773,0
0,0,0,774,0
0,0,0,774,0
0,0,0,818,1
5,4,1,768,0
0,0,0,770,1
2,1,1,769,0
0,0,0,775,0
0,0,0,769,1
0,0,0,767,1
0,0,0,762,1
0,0,0,769,1
0,0,0,777,1
0,0,0,772,1
2,1,2,785,0
5,4,1,773,0
0,0,0,779,0
0,0,0,767,1
0,0,0,750,1
0,0,0,773,0
0,0,0,772,1
2,1,2,778,1
0,0,0,775,0
0,0,0,753,0
0,0,0,777,0
0,0,0,779,0
0,0,0,773,1
0,0,0,772,1
0,0,0,775,1
0,0,0,772,1
0,0,0,774,1
0,0,0,774,1
0,0,0,778,1
0,0,0,776,1
3,3,1,770,0
0,0,0,775,1
0,0,0,781,1
0,0,0,781,1
0,0,0,782,1
0,0,0,780,1
0,0,0,775,1
0,0,0,816,1
2,1,1,768,0
0,0,0,770,1
2,1,1,769,0
0,0,0,767,0
0,0,0,767,1
0,0,0,772,1
0,0,0,769,1
0,0,0,773,1
0,0,0,772,1
4,2,1,768,0
0,0,0,768,1
0,0,0,773,1
0,0,0,767,1
0,0,0,774,1
0,0,0,770,1
0,0,0,773,1
0,0,0,769,1
2,1,1,768,0
0,0,0,770,1
2,1,1,774,0
0,0,0,775,0
0,0,0,774,1
0,0,0,775,1
0,0,0,774,1
0,0,0,779,1
0,0,0,778,1
0,0,0,779,1
3,3,1,778,0
0,0,0,781,1
0,0,0,682,1
0,0,0,769,1
0,0,0,777,1
0,0,0,781,1
1,1,1,778,0
0,0,0,779,1
1,1,1,780,0
0,0,0,4095,1
0,0,0,782,1
0,0,0,780,1
0,0,0,780,1
5,4,1,711,0
0,0,0,778,1
0,0,0,779,1
0,0,0,776,1
0,0,0,769,1
0,0,0,775,1
0,0,0,781,1
0,0,0,774,1
0,0,0,775,1
2,1,1,773,0
0,0,0,793,1
2,1,1,775,0
0,0,0,773,0
0,0,0,781,1
0,0,0,782,1
0,0,0,785,1
0,0,0,775,1
0,0,0,781,1
1,1,1,772,0
0,0,0,771,1
1,1,1,773,0
0,0,0,4095,1
0,0,0,769,1
0,0,0,773,1
0,0,0,773,1
0,0,0,770,1
0,0,0,768,1
0,0,0,772,1
3,3,1,771,0
0,0,0,769,1
0,0,0,771,1
0,0,0,769,1
0,0,0,758,1
0,0,0,773,1
4,2,1,772,0
0,0,0,772,1
0,0,0,776,1
0,0,0,771,1
0,0,0,768,1
0,0,0,770,1
0,0,0,770,1
0,0,0,774,1
0,0,0,771,1
0,0,0,771,1
0,0,0,771,1
3,3,1,767,0
0,0,0,769,1
0,0,0,767,1
0,0,0,768,1
5,4,1,768,0
0,0,0,674,1
0,0,0,764,1
0,0,0,766,1
0,0,0,767,1
1,1,1,765,0
0,0,0,762,1
1,1,1,766,0
0,0,0,4095,1
0,0,0,765,1
0,0,0,779,1
0,0,0,779,1
0,0,0,767,1
0,0,0,766,1
0,0,0,764,1
0,0,0,766,1
0,0,0,768,1
0,0,0,769,1
3,3,1,766,0
0,0,0,763,1
2,1,2,779,1
0,0,0,775,0
0,0,0,772,0
0,0,0,772,0
0,0,0,770,0
0,0,0,775,0
2,1,2,773,1
0,0,0,777,0
0,0,0,778,0
2,1,2,770,1
0,0,0,768,0
2,1,2,774,1
0,0,0,773,0
0,0,0,773,0
0,0,0,774,0
3,3,1,773,1
0,0,0,777,0
2,1,2,769,0
0,0,0,773,0
0,0,0,768,1
0,0,0,1443,1
1,1,2,4095,1
0,0,0,4095,1
2,1,2,4095,1
0,0,0,4095,0
1,1,2,4095,1
2,1,2,4095,1
0,0,0,4095,0
1,1,2,4095,1
2,1,2,4095,1
0,0,0,4095,0
1,1,2,4095,1
2,1,2,4095,1
0,0,0,4095,0
1,1,2,4095,1
2,1,2,4095,1
0,0,0,4095,0
1,1,2,4095,1
2,1,1,4095,0
